RegionCode,year,population
AT,2010,8351643.0
AT,2011,8375164.0
AT,2012,8408121.0
AT,2013,8451860.0
AT,2014,8507786.0
AT,2015,8584926.0
AT,2016,8700471.0
AT,2017,8772865.0
AT,2018,8822267.0
AT,2019,8858775.0
BE,2010,10839905.0
BE,2011,11000638.0
BE,2012,11075889.0
BE,2013,11137974.0
BE,2014,11180840.0
BE,2015,11237274.0
BE,2016,11311117.0
BE,2017,11351727.0
BE,2018,11398589.0
BE,2019,11455519.0
BG,2010,7421766.0
BG,2011,7369431.0
BG,2012,7327224.0
BG,2013,7202556.0
BG,2014,7117453.0
BG,2015,7029690.0
BG,2016,6938759.0
BG,2017,6849518.0
BG,2018,6757418.0
BG,2019,6664177.0
CY,2010,819140.0
CY,2011,839751.0
CY,2012,862011.0
CY,2013,862854.0
CY,2014,860032.0
CY,2015,860846.0
CY,2016,863764.0
CY,2017,869878.0
CY,2018,878601.0
CY,2019,890194.0
CZ,2010,10462088.0
CZ,2011,10486731.0
CZ,2012,10505445.0
CZ,2013,10516125.0
CZ,2014,10512419.0
CZ,2015,10538275.0
CZ,2016,10553843.0
CZ,2017,10578820.0
CZ,2018,10610055.0
CZ,2019,10649800.0
DE,2010,81802257.0
DE,2011,80222065.0
DE,2012,80327900.0
DE,2013,80523746.0
DE,2014,80767463.0
DE,2015,81197537.0
DE,2016,82175684.0
DE,2017,82521653.0
DE,2018,82792351.0
DE,2019,83019213.0
DK,2010,5534738.0
DK,2011,5560628.0
DK,2012,5580516.0
DK,2013,5602628.0
DK,2014,5627235.0
DK,2015,5659715.0
DK,2016,5707251.0
DK,2017,5748769.0
DK,2018,5781190.0
DK,2019,5806081.0
EE,2010,1333290.0
EE,2011,1329660.0
EE,2012,1325217.0
EE,2013,1320169.0
EE,2014,1315819.0
EE,2015,1313271.0
EE,2016,1315944.0
EE,2017,1315635.0
EE,2018,1319133.0
EE,2019,1324820.0
EL,2010,11119289.0
EL,2011,
EL,2012,11072725.0
EL,2013,10980006.0
EL,2014,10894294.0
EL,2015,10818041.0
EL,2016,10735415.0
EL,2017,10707527.0
EL,2018,10667336.0
EL,2019,10635213.0
ES,2010,46486619.0
ES,2011,46667174.0
ES,2012,46818219.0
ES,2013,46712650.0
ES,2014,46495744.0
ES,2015,46425722.0
ES,2016,46418884.0
ES,2017,46497393.0
ES,2018,46645070.0
ES,2019,46918951.0
FI,2010,5351427.0
FI,2011,5375276.0
FI,2012,5401267.0
FI,2013,5426674.0
FI,2014,5451270.0
FI,2015,5471753.0
FI,2016,5487308.0
FI,2017,5503297.0
FI,2018,5513130.0
FI,2019,5517919.0
FR,2010,64658856.0
FR,2011,64978721.0
FR,2012,65276983.0
FR,2013,65600350.0
FR,2014,66165980.0
FR,2015,66458153.0
FR,2016,66638391.0
FR,2017,66809816.0
FR,2018,67026224.0
FR,2019,67290471.0
HR,2010,4302847.0
HR,2011,4289857.0
HR,2012,4275984.0
HR,2013,4247803.0
HR,2014,4217632.0
HR,2015,4180915.0
HR,2016,4131115.0
HR,2017,4078769.0
HR,2018,4014341.0
HR,2019,3968676.0
HU,2010,10014324.0
HU,2011,9985722.0
HU,2012,9931925.0
HU,2013,9895250.0
HU,2014,9850217.0
HU,2015,9815858.0
HU,2016,9779652.0
HU,2017,9739857.0
HU,2018,9713655.0
HU,2019,9700272.0
IE,2010,4549428.0
IE,2011,4570881.0
IE,2012,4589287.0
IE,2013,4609779.0
IE,2014,4637852.0
IE,2015,4677627.0
IE,2016,4726286.0
IE,2017,4799157.0
IE,2018,4855733.0
IE,2019,4940311.0
IS,2010,317630.0
IS,2011,318452.0
IS,2012,319575.0
IS,2013,321857.0
IS,2014,325671.0
IS,2015,329100.0
IS,2016,332529.0
IS,2017,338349.0
IS,2018,348450.0
IS,2019,356991.0
IT,2010,59690316.0
IT,2011,59948497.0
IT,2012,60105185.0
IT,2013,60277309.0
IT,2014,60345917.0
IT,2015,60295497.0
IT,2016,60163712.0
IT,2017,60066734.0
IT,2018,59937769.0
IT,2019,59816673.0
LT,2010,3141976.0
LT,2011,3052588.0
LT,2012,3003641.0
LT,2013,2974637.0
LT,2014,2947862.0
LT,2015,2926644.0
LT,2016,2895573.0
LT,2017,2859077.0
LT,2018,2826200.0
LT,2019,2812200.0
LU,2010,502066.0
LU,2011,511840.0
LU,2012,524853.0
LU,2013,537039.0
LU,2014,549680.0
LU,2015,562958.0
LU,2016,576249.0
LU,2017,590667.0
LU,2018,602005.0
LU,2019,613894.0
LV,2010,2120504.0
LV,2011,2074605.0
LV,2012,2044813.0
LV,2013,2023825.0
LV,2014,2001468.0
LV,2015,1986096.0
LV,2016,1968957.0
LV,2017,1950116.0
LV,2018,1934379.0
LV,2019,1919968.0
MT,2010,414027.0
MT,2011,414989.0
MT,2012,417546.0
MT,2013,421464.0
MT,2014,428156.0
MT,2015,438805.0
MT,2016,449635.0
MT,2017,459375.0
MT,2018,474837.0
MT,2019,492968.0
NL,2010,16574989.0
NL,2011,16655799.0
NL,2012,16730348.0
NL,2013,16779575.0
NL,2014,16829289.0
NL,2015,16900726.0
NL,2016,16979120.0
NL,2017,17081507.0
NL,2018,17181084.0
NL,2019,17282163.0
NO,2010,4858199.0
NO,2011,4920305.0
NO,2012,4985870.0
NO,2013,5051275.0
NO,2014,5109056.0
NO,2015,5165802.0
NO,2016,5213985.0
NO,2017,5258317.0
NO,2018,5295619.0
NO,2019,5328212.0
PL,2010,38022869.0
PL,2011,38062718.0
PL,2012,38063792.0
PL,2013,38062535.0
PL,2014,38017856.0
PL,2015,38005614.0
PL,2016,37967209.0
PL,2017,37972964.0
PL,2018,37976687.0
PL,2019,37972812.0
PT,2010,10573479.0
PT,2011,10572721.0
PT,2012,10558950.0
PT,2013,10503889.0
PT,2014,10444092.0
PT,2015,10395121.0
PT,2016,10368554.0
PT,2017,10344478.0
PT,2018,10335770.0
PT,2019,10333496.0
RO,2010,20294683.0
RO,2011,20199059.0
RO,2012,20095996.0
RO,2013,20020074.0
RO,2014,19947311.0
RO,2015,19870647.0
RO,2016,19760585.0
RO,2017,19643949.0
RO,2018,19533481.0
RO,2019,19414458.0
SE,2010,9340682.0
SE,2011,9415570.0
SE,2012,9482855.0
SE,2013,9555893.0
SE,2014,9644864.0
SE,2015,9747355.0
SE,2016,9851017.0
SE,2017,9995153.0
SE,2018,10120242.0
SE,2019,10230185.0
SI,2010,2046976.0
SI,2011,2050189.0
SI,2012,2055496.0
SI,2013,2058821.0
SI,2014,2061085.0
SI,2015,2062874.0
SI,2016,2064188.0
SI,2017,2065895.0
SI,2018,2066880.0
SI,2019,2080908.0
SK,2010,5390410.0
SK,2011,5392446.0
SK,2012,5404322.0
SK,2013,5410836.0
SK,2014,5415949.0
SK,2015,5421349.0
SK,2016,5426252.0
SK,2017,5435343.0
SK,2018,5443120.0
SK,2019,5450421.0
